depto,ciudad,fecha,,vendedor,cantidad
1,67,20180202,5,4051,3
1,67,20171228,5,1756,1
1,67,20160305,2,4004,1
1,67,20151017,2,1285,1
1,88,20140707,6,1030,1
1,88,20140814,6,1812,1
1,88,20151014,5,1146,1
1,88,20171127,6,4473,2
1,67,20130322,5,1047,2
1,67,20131107,6,4124,1
1,67,20131002,6,1712,1
1,67,20140212,6,1819,1
1,67,20140724,6,1002,1
1,67,20131220,5,1139,1
1,67,20140919,6,1156,1
1,67,20140903,6,1025,1
1,67,20141028,6,4140,2
1,67,20150728,5,1812,3
1,67,20150122,6,1066,1
1,67,20150729,5,4266,1
1,67,20151222,6,1671,1
1,67,20150519,5,1023,2
1,67,20160406,6,1963,1
1,67,20160217,5,1030,1
1,67,20160903,5,4051,2
1,67,20160909,5,1296,2
1,67,20150929,5,4003,2
1,67,20151001,5,4131,1
1,67,20160212,5,1013,1
1,67,20150922,5,4051,2
1,67,20160809,5,466,1
1,67,20160620,6,1874,1
1,67,20160225,6,1916,1
1,67,20160408,6,1839,1
1,67,20160227,5,4266,1
1,67,20160903,6,1279,1
1,67,20160831,6,4270,1
1,67,20160902,6,1161,2
1,67,20161005,6,1851,1
1,67,20170331,6,4051,3
1,67,20170209,6,4042,4
1,67,20161207,6,1769,1
1,67,20170316,5,1812,2
1,67,20170705,6,4051,6
1,67,20170921,6,4051,2
1,67,20161219,6,1002,1
1,67,20170907,6,1179,1
1,67,20170815,6,1076,3
1,67,20170808,6,1161,2
1,67,20170613,6,4266,1
1,67,20171002,6,4003,3
1,67,20170815,6,1874,1
1,67,20180112,6,403,1
1,67,20170606,5,1819,2
1,67,20171021,5,4051,5
1,67,20171002,5,1274,1
1,67,20130308,6,1022,2
1,67,20130313,6,1161,1
1,67,20131118,6,1023,1
1,67,20140603,6,4073,1
1,67,20130927,6,4063,1
1,67,20140409,5,1812,1
1,67,20140616,5,1027,1
1,67,,5,1156,11
1,67,20151023,5,4051,4
1,67,20160623,5,4003,1
1,67,20160208,6,4051,2
1,67,20160827,5,1868,1
1,67,20120821,6,1821,1
1,67,20120915,6,1023,1
1,67,20120829,6,1036,1
1,67,20120913,6,1711,1
1,67,20130216,5,1025,1
1,67,20130814,6,1812,1
1,67,20130517,6,4063,1
1,67,20130304,6,1821,1
1,67,20130323,6,1888,2
1,67,20140210,6,1223,1
1,67,20130727,5,1025,1
1,67,20131223,6,1028,1
1,67,20040303,6,1161,1
1,67,20140322,6,1023,1
1,67,20140423,6,4081,1
1,67,20131108,6,1047,1
1,67,20140221,6,1139,1
1,67,20131114,6,1950,1
1,67,20141011,6,1161,1
1,67,20140522,6,1760,1
1,67,20150216,5,4051,1
1,67,20150731,5,4051,2
1,67,20150330,6,1851,1
1,67,20140908,6,4042,1
1,67,20141009,6,1173,1
1,67,20150708,6,1022,1
1,67,20141017,6,1161,3
1,67,20150616,5,1986,1
1,67,20141101,6,4051,1
1,67,20150731,6,1812,1
1,67,20150602,5,1893,1
1,67,20150619,6,1190,1
1,67,20150904,6,4051,5
1,67,20150406,5,4051,4
1,67,20150819,5,4051,3
1,67,20141217,6,1135,1
1,67,20150508,6,4051,3
1,67,20151016,6,4051,2
1,67,20150127,6,4051,1
1,67,20150417,6,1022,1
1,67,20150701,6,4138,3
1,67,20150505,6,4051,7
1,67,20150508,5,1069,1
1,67,20150923,6,1684,2
1,67,20150309,5,4051,2
1,67,20160308,6,8207,2
1,67,20150722,6,1118,1
1,67,20150505,6,1030,1
1,67,20150331,6,1030,1
1,67,20150709,6,1059,2
1,67,20160125,5,1002,1
1,67,20160407,6,4051,2
1,67,20151013,6,1743,1
1,67,20160202,6,1671,1
1,67,20160307,6,4003,1
1,67,20160826,6,4051,3
1,67,20150909,6,1118,1
1,67,20160622,6,1173,1
1,67,20160323,6,1296,1
1,67,20151028,5,1028,1
1,67,20160629,5,874,1
1,67,20160829,5,4051,3
1,67,20151125,6,1812,1
1,67,20160930,6,1013,1
1,67,20161102,6,4051,3
1,67,20161018,6,4051,7
1,67,20160217,5,4051,2
1,67,20160622,5,1812,1
1,67,20160621,5,4003,1
